s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://www.eionet.europa.eu/gemet/concept/4094;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://www.eionet.europa.eu/gemet/concept/4094;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://www.eionet.europa.eu/gemet/concept/8203;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://www.eionet.europa.eu/gemet/concept/1255;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://www.eionet.europa.eu/gemet/concept/7950;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://www.eionet.europa.eu/gemet/concept/9293;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://www.eionet.europa.eu/gemet/concept/2411;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://www.eionet.europa.eu/gemet/concept/2992;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://www.eionet.europa.eu/gemet/concept/2992;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/americacentrale;http://www.eionet.europa.eu/gemet/concept/1256;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisichimica;http://www.eionet.europa.eu/gemet/concept/1298;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisistatistica;http://www.eionet.europa.eu/gemet/concept/8074;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/colorimetria;http://www.eionet.europa.eu/gemet/concept/1570;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia;http://www.eionet.europa.eu/gemet/concept/1400;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/troposfera;http://www.eionet.europa.eu/gemet/concept/8695;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/neve;http://www.eionet.europa.eu/gemet/concept/7769;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/pioggiaacida;http://www.eionet.europa.eu/gemet/concept/51;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cordonelitorale;http://www.eionet.europa.eu/gemet/concept/10149;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bacinosedimentario;http://www.eionet.europa.eu/gemet/concept/7560;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bacinoidrografico;http://www.eionet.europa.eu/gemet/concept/12145;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ponte;http://www.eionet.europa.eu/gemet/concept/1001;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/medicina;http://www.eionet.europa.eu/gemet/concept/5144;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lana;http://www.eionet.europa.eu/gemet/concept/9363;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/montagna;http://www.eionet.europa.eu/gemet/concept/5401;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nave;http://www.eionet.europa.eu/gemet/concept/7654;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/calcestruzzo;http://www.eionet.europa.eu/gemet/concept/1677;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rijeka;http://www.eionet.europa.eu/gemet/concept/7244;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientecostiero;http://www.eionet.europa.eu/gemet/concept/1517;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambientemarino;http://www.eionet.europa.eu/gemet/concept/5033;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambienteterrestre;http://www.eionet.europa.eu/gemet/concept/10198;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/piena;http://www.eionet.europa.eu/gemet/concept/3298;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/deserto;http://www.eionet.europa.eu/gemet/concept/2103;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/erosionedelsuolo;http://www.eionet.europa.eu/gemet/concept/7858;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/erosioneeolica;http://www.eionet.europa.eu/gemet/concept/9330;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/erosioneidrica;http://www.eionet.europa.eu/gemet/concept/9168;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/calanco;http://www.eionet.europa.eu/gemet/concept/10142;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/europaoccidentale;http://www.eionet.europa.eu/gemet/concept/9295;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/europaorientale;http://www.eionet.europa.eu/gemet/concept/2413;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/prato;http://www.eionet.europa.eu/gemet/concept/5110;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/corsodacqua;http://www.eionet.europa.eu/gemet/concept/9161;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/corsodacqua;http://www.eionet.europa.eu/gemet/concept/9161;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cascata;http://www.eionet.europa.eu/gemet/concept/9170;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiume;http://www.eionet.europa.eu/gemet/concept/7244;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiume;http://www.eionet.europa.eu/gemet/concept/7244;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/devoluzione;http://www.eionet.europa.eu/gemet/concept/11632;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/geologiamarina;http://www.eionet.europa.eu/gemet/concept/5038;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/geologiamineraria;http://www.eionet.europa.eu/gemet/concept/5288;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/terremoto;http://www.eionet.europa.eu/gemet/concept/2402;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/autostrada;http://www.eionet.europa.eu/gemet/concept/5395;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/argilla;http://www.eionet.europa.eu/gemet/concept/1449;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bromo;http://www.eionet.europa.eu/gemet/concept/1007;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cloro;http://www.eionet.europa.eu/gemet/concept/1373;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fluoro;http://www.eionet.europa.eu/gemet/concept/3334;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/iodio;http://www.eionet.europa.eu/gemet/concept/4483;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/trizio;http://www.eionet.europa.eu/gemet/concept/8680;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/vetro;http://www.eionet.europa.eu/gemet/concept/3678;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/oceanoindiano;http://www.eionet.europa.eu/gemet/concept/4195;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sistemainformativogeografico;http://www.eionet.europa.eu/gemet/concept/3645;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/articulata;http://www.eionet.europa.eu/gemet/concept/572;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lago;http://www.eionet.europa.eu/gemet/concept/4594;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/discaricacontrollata;http://www.eionet.europa.eu/gemet/concept/7438;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/norma;http://www.eionet.europa.eu/gemet/concept/5690;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/frana;http://www.eionet.europa.eu/gemet/concept/4668;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/valanga;http://www.eionet.europa.eu/gemet/concept/678;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/materialediriempimento;http://www.eionet.europa.eu/gemet/concept/3181;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/marnero;http://www.eionet.europa.eu/gemet/concept/14842;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alluminio;http://www.eionet.europa.eu/gemet/concept/353;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/argento;http://www.eionet.europa.eu/gemet/concept/7699;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/arsenico;http://www.eionet.europa.eu/gemet/concept/567;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/attinidi;http://www.eionet.europa.eu/gemet/concept/66;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cadmio;http://www.eionet.europa.eu/gemet/concept/1100;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cobalto;http://www.eionet.europa.eu/gemet/concept/1532;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromo;http://www.eionet.europa.eu/gemet/concept/1401;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ferro;http://www.eionet.europa.eu/gemet/concept/4498;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mercurio;http://www.eionet.europa.eu/gemet/concept/5154;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/nichel;http://www.eionet.europa.eu/gemet/concept/5589;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/piombo;http://www.eionet.europa.eu/gemet/concept/4723;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rame;http://www.eionet.europa.eu/gemet/concept/1792;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tallio;http://www.eionet.europa.eu/gemet/concept/8428;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/titanio;http://www.eionet.europa.eu/gemet/concept/8495;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/vanadio;http://www.eionet.europa.eu/gemet/concept/8893;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/zinco;http://www.eionet.europa.eu/gemet/concept/9412;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/attinio;http://www.eionet.europa.eu/gemet/concept/68;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/plutonio;http://www.eionet.europa.eu/gemet/concept/6346;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/uranio;http://www.eionet.europa.eu/gemet/concept/8791;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bario;http://www.eionet.europa.eu/gemet/concept/719;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/berillio;http://www.eionet.europa.eu/gemet/concept/781;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/calcio;http://www.eionet.europa.eu/gemet/concept/1111;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/radio;http://www.eionet.europa.eu/gemet/concept/6901;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/stronzio;http://www.eionet.europa.eu/gemet/concept/8144;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cesio;http://www.eionet.europa.eu/gemet/concept/1103;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/platino;http://www.eionet.europa.eu/gemet/concept/6338;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/marmo;http://www.eionet.europa.eu/gemet/concept/5018;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/chrysophyta;http://www.eionet.europa.eu/gemet/concept/1406;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/diatomeae;http://www.eionet.europa.eu/gemet/concept/2168;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/amalgama;http://www.eionet.europa.eu/gemet/concept/363;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/amalgama;http://www.eionet.europa.eu/gemet/concept/363;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/radon;http://www.eionet.europa.eu/gemet/concept/6935;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bitume;http://www.eionet.europa.eu/gemet/concept/921;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/carbonioorganico;http://www.eionet.europa.eu/gemet/concept/5892;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/humus;http://www.eionet.europa.eu/gemet/concept/4070;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/metano;http://www.eionet.europa.eu/gemet/concept/5199;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cellulosa;http://www.eionet.europa.eu/gemet/concept/1244;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/idrocarburiaromatici;http://www.eionet.europa.eu/gemet/concept/562;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/benzene;http://www.eionet.europa.eu/gemet/concept/776;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/idrocarburiaromaticipoliciclici;http://www.eionet.europa.eu/gemet/concept/6492;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/resina;http://www.eionet.europa.eu/gemet/concept/7161;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/idrocarburi;http://www.eionet.europa.eu/gemet/concept/4091;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/clorofilla;http://www.eionet.europa.eu/gemet/concept/1391;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/enzima;http://www.eionet.europa.eu/gemet/concept/2945;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/purina;http://www.eionet.europa.eu/gemet/concept/6846;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/compostoorganicovolatile;http://www.eionet.europa.eu/gemet/concept/8993;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/minerale;http://www.eionet.europa.eu/gemet/concept/5277;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sabbiabituminosa;http://www.eionet.europa.eu/gemet/concept/8304;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lignite;http://www.eionet.europa.eu/gemet/concept/4818;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/carbone;http://www.eionet.europa.eu/gemet/concept/1500;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/torba;http://www.eionet.europa.eu/gemet/concept/6081;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gasnaturale;http://www.eionet.europa.eu/gemet/concept/5503;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fitoplancton;http://www.eionet.europa.eu/gemet/concept/6247;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cavasotterranea;http://www.eionet.europa.eu/gemet/concept/12656;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/barrieracorallina;http://www.eionet.europa.eu/gemet/concept/1796;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/calcare;http://www.eionet.europa.eu/gemet/concept/4823;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/calcarefine;http://www.eionet.europa.eu/gemet/concept/11207;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/potassa;http://www.eionet.europa.eu/gemet/concept/6540;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/salgemma;http://www.eionet.europa.eu/gemet/concept/7401;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/stratificazione;http://www.eionet.europa.eu/gemet/concept/8125;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sedimentomarino;http://www.eionet.europa.eu/gemet/concept/5049;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fango;http://www.eionet.europa.eu/gemet/concept/7733;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ghiaia;http://www.eionet.europa.eu/gemet/concept/3738;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/polvere;http://www.eionet.europa.eu/gemet/concept/2381;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/silt;http://www.eionet.europa.eu/gemet/concept/7698;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sabbia;http://www.eionet.europa.eu/gemet/concept/7413;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/insenatura;http://www.eionet.europa.eu/gemet/concept/10152;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/baia;http://www.eionet.europa.eu/gemet/concept/749;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/laguna;http://www.eionet.europa.eu/gemet/concept/4589;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/spiaggia;http://www.eionet.europa.eu/gemet/concept/751;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/estuario;http://www.eionet.europa.eu/gemet/concept/2974;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/paludesalmastra;http://www.eionet.europa.eu/gemet/concept/7396;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/paludeamangrovie;http://www.eionet.europa.eu/gemet/concept/4999;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/amianto;http://www.eionet.europa.eu/gemet/concept/591;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/carsismo;http://www.eionet.europa.eu/gemet/concept/4545;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/formazione;http://www.eionet.europa.eu/gemet/concept/8607;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gesso;http://www.eionet.europa.eu/gemet/concept/3806;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/trasportofluviale;http://www.eionet.europa.eu/gemet/concept/3341;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/prezzo;http://www.eionet.europa.eu/gemet/concept/6602;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/climax;http://www.eionet.europa.eu/gemet/concept/1480;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/kaspijskojemore;http://www.eionet.europa.eu/gemet/concept/14843;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/pila;http://www.eionet.europa.eu/gemet/concept/1242;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/vulcano;http://www.eionet.europa.eu/gemet/concept/9004;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasotterranea;http://www.eionet.europa.eu/gemet/concept/3780;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alterazionefisica;http://www.eionet.europa.eu/gemet/concept/14853;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/anatidi;http://www.eionet.europa.eu/gemet/concept/404;NA
http://linkeddata.ge.imati.cnr.it/resource/ThIST/carso;http://www.eionet.europa.eu/gemet/concept/4545;B
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acido;http://www.eionet.europa.eu/gemet/concept/52;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/aeroporto;http://www.eionet.europa.eu/gemet/concept/267;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/alluvione;http://www.eionet.europa.eu/gemet/concept/341;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/associazione;http://www.eionet.europa.eu/gemet/concept/607;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/assorbimento;http://www.eionet.europa.eu/gemet/concept/7930;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bacinolacustre;http://www.eionet.europa.eu/gemet/concept/4590;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bilancioidrologico;http://www.eionet.europa.eu/gemet/concept/4115;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/bonifica;http://www.eionet.europa.eu/gemet/concept/1456;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/canale;http://www.eionet.europa.eu/gemet/concept/1126;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/complessazione;http://www.eionet.europa.eu/gemet/concept/1645;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/corrente;http://www.eionet.europa.eu/gemet/concept/3311;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositosotterraneo;http://www.eionet.europa.eu/gemet/concept/8758;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/discarica;http://www.eionet.europa.eu/gemet/concept/4621;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/disidratazione;http://www.eionet.europa.eu/gemet/concept/2363;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/esposizione;http://www.eionet.europa.eu/gemet/concept/3067;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/etaassoluta;http://www.eionet.europa.eu/gemet/concept/1992;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/formazioneprofessionale;http://www.eionet.europa.eu/gemet/concept/8992;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/fossato;http://www.eionet.europa.eu/gemet/concept/2276;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/geologiaglaciale;http://www.eionet.europa.eu/gemet/concept/3676;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/imbibizione;http://www.eionet.europa.eu/gemet/concept/7774;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/indagine;http://www.eionet.europa.eu/gemet/concept/2127;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/magra;http://www.eionet.europa.eu/gemet/concept/4922;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mineralemetallico;http://www.eionet.europa.eu/gemet/concept/5171;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mineralemetallifero;http://www.eionet.europa.eu/gemet/concept/5887;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/percorso;http://www.eionet.europa.eu/gemet/concept/7319;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/piscicoltura;http://www.eionet.europa.eu/gemet/concept/3254;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/rivestimento;http://www.eionet.europa.eu/gemet/concept/1530;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/scarpata;http://www.eionet.europa.eu/gemet/concept/7731;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/scoria;http://www.eionet.europa.eu/gemet/concept/7720;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/scoriadifusione;http://www.eionet.europa.eu/gemet/concept/7720;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/stazione;http://www.eionet.europa.eu/gemet/concept/8073;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/temporale;http://www.eionet.europa.eu/gemet/concept/12084;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/zonatorrida;http://www.eionet.europa.eu/gemet/concept/8693;C
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquadolce;http://www.eionet.europa.eu/gemet/concept/3485;C?
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ammoniaca;http://www.eionet.europa.eu/gemet/concept/375;C?
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acciaio;http://www.eionet.europa.eu/gemet/concept/8088;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acciaio;http://www.eionet.europa.eu/gemet/concept/8088;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acclivitadiversante;http://www.eionet.europa.eu/gemet/concept/4186;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidificazione;http://www.eionet.europa.eu/gemet/concept/44;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidita;http://www.eionet.europa.eu/gemet/concept/47;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquadimare;http://www.eionet.europa.eu/gemet/concept/7535;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquaminerale;http://www.eionet.europa.eu/gemet/concept/5279;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquapiovana;http://www.eionet.europa.eu/gemet/concept/6951;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquapotabile;http://www.eionet.europa.eu/gemet/concept/2339;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasalata;http://www.eionet.europa.eu/gemet/concept/7402;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasalmastra;http://www.eionet.europa.eu/gemet/concept/984;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasuperficiale;http://www.eionet.europa.eu/gemet/concept/8229;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquatermale;http://www.eionet.europa.eu/gemet/concept/8448;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquedotto;http://www.eionet.europa.eu/gemet/concept/517;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquifero;http://www.eionet.europa.eu/gemet/concept/518;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquisto;http://www.eionet.europa.eu/gemet/concept/6835;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/adsorbimento;http://www.eionet.europa.eu/gemet/concept/120;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/aerazione;http://www.eionet.europa.eu/gemet/concept/132;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/aerosol;http://www.eionet.europa.eu/gemet/concept/157;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/africa;http://www.eionet.europa.eu/gemet/concept/170;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/agricoltura;http://www.eionet.europa.eu/gemet/concept/232;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/agronomia;http://www.eionet.europa.eu/gemet/concept/11152;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/albero;http://www.eionet.europa.eu/gemet/concept/8664;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/allumina;http://www.eionet.europa.eu/gemet/concept/352;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/altitudine;http://www.eionet.europa.eu/gemet/concept/10140;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ambiente;http://www.eionet.europa.eu/gemet/concept/2944;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ammonio;http://www.eionet.europa.eu/gemet/concept/379;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisi;http://www.eionet.europa.eu/gemet/concept/397;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisideidati;http://www.eionet.europa.eu/gemet/concept/1975;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/analisimicrobiologica;http://www.eionet.europa.eu/gemet/concept/5216;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/anatomia;http://www.eionet.europa.eu/gemet/concept/406;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/animali;http://www.eionet.europa.eu/gemet/concept/450;E
